ID,track_name,artist,artist_link,album_name,album_link,total_time,preview_time
1.,Du måste finnas,Newkid,https://open.spotify.com/artist/5wXRHaEx8AvtUv0gyZHGf6,Så mycket bättre 2020 - Tolkningarna,https://open.spotify.com/album/5P2bHYkTGuZJKlv4Y36bSc,3:18,0:30
2.,Judy min vän,Benjamin Ingrosso,https://open.spotify.com/artist/7jEEE187pVG6InOxn03oA5,Så Mycket Bättre 2020 - Tolkningarna,https://open.spotify.com/album/14baLszMgIF0GcFngsVMiW,3:32,0:30
3.,En säng av rosor,Darin,https://open.spotify.com/artist/1rKFeRryEci6cxNkdvHzNr,En säng av rosor,https://open.spotify.com/album/5ZHVwbE2Pu2kYWqIlFpPz7,3:42,0:30
4.,Bad Reputation - Acoustic,Blame Jones,https://open.spotify.com/artist/4FCvYJ06Q8c4AScPG501KY,Bad Reputation (Acoustic),https://open.spotify.com/album/1rDNdC5mvKtQLHHLE2BKae,3:03,0:30
5.,"I`m Sorry, But I Don´t Love You Anymore",Vide,https://open.spotify.com/artist/33DYTSjYcxK2DzjeK7w539,"I`m Sorry, But I Don´t Love You Anymore",https://open.spotify.com/album/6iklm9imQPBtbyu8S6o9LM,2:35,0:30
6.,Vi gjorde vårt bästa,Albin Johnsén,https://open.spotify.com/artist/6IfZesOI3vKCZy8pjzVknj,lovad,https://open.spotify.com/artist/3MPhQdwcGDArJTh3SvU9nj,3:01,0:30
7.,"Du Med Dig, Akustisk",Miriam Bryant,https://open.spotify.com/artist/2zd9YxlsQvA5mkZ1NarYVQ,"Du Med Dig, Akustisk",https://open.spotify.com/album/3Hw6A1TAtTIru04am24LZ1,3:17,0:30
8.,Riptide,VAX,https://open.spotify.com/artist/6cQVcprcYDxGM79YmyCkcQ,Riptide,https://open.spotify.com/album/57Nh71vBAHuVA71W6jbn2b,2:17,0:30
9.,Flickan på min gata,Benjamin Ingrosso,https://open.spotify.com/artist/7jEEE187pVG6InOxn03oA5,Flickan på min gata,https://open.spotify.com/album/3SKRVm8F8aDwKTEJT7ke8x,2:55,0:30
10.,Starkare,Newkid,https://open.spotify.com/artist/5wXRHaEx8AvtUv0gyZHGf6,Så mycket bättre 2020 - Tolkningarna,https://open.spotify.com/album/5P2bHYkTGuZJKlv4Y36bSc,2:40,0:30
11.,Hate Being Away from You,Candelion,https://open.spotify.com/artist/3Qq7KInk9dmtAMzajwdPDG,Greylyn,https://open.spotify.com/artist/4PQOjPIb4of8eUH4Y3vXpp,3:00,0:30
12.,100,Ana Diaz,https://open.spotify.com/artist/4Lw6zDFtDp7WVblSAXcQdW,100,https://open.spotify.com/album/09luSdstY838oYEgjRRpUW,3:42,0:30
13.,Boy You're Good,Micky Skeel,https://open.spotify.com/artist/3ml6MvdCLzBBhK2zT9AhOl,Boy You're Good,https://open.spotify.com/album/0pVWMiCthCpbU0BOMONFoh,2:36,0:30
14.,Let Him Go,JUNG,https://open.spotify.com/artist/1OHba9a2SK2KcJmJgkGQZO,Clara Mae,https://open.spotify.com/artist/6RHKEd9dpzQ4c09x8Zdaxu,3:35,0:30
15.,Do It All Again,Samira Manners,https://open.spotify.com/artist/3kdwcdgnO8ocKNeFr31F9v,Do It All Again,https://open.spotify.com/album/6tQ9w61vgQnu7l1pepmpP1,2:34,0:30
16.,Trög,Sebastian Walldén,https://open.spotify.com/artist/6nVppoLxZQC587nnLTQcKx,Trög,https://open.spotify.com/album/5Nay0mjZSsLLc8E7IGy7Ce,3:19,0:30
17.,Ingenting Jag Säger Hjälper Nu,William Segerdahl,https://open.spotify.com/artist/7h3jPDAAlfXOhid0q360Hh,Ingenting Jag Säger Hjälper Nu,https://open.spotify.com/album/6MOvWzF7txB3tmZVRYo1F8,3:29,0:30
